"Woonplaatsen";"Woonplaatscode (Code)";"Gemeentenaam";"Gemeente/Code  (Code)"
"Diepenveen";"WP2857    ";"Deventer                           ";"GM0150    "
"Dieren";"WP1504    ";"Rheden                             ";"GM0275    "
"Diessen";"WP1308    ";"Hilvarenbeek                       ";"GM0798    "
"Diever";"WP3107    ";"Westerveld                         ";"GM1701    "
"Dieverbrug";"WP3108    ";"Westerveld                         ";"GM1701    "
"Diffelen";"WP1548    ";"Hardenberg                         ";"GM0160    "
"Dijken";"WP2487    ";"De Fryske Marren                   ";"GM1940    "
"Dinteloord";"WP1402    ";"Steenbergen                        ";"GM0851    "
"Dinxperlo";"WP1196    ";"Aalten                             ";"GM0197    "
"Diphoorn";"WP2152    ";"Coevorden                          ";"GM0109    "
"Dirkshorn";"WP3289    ";"Schagen                            ";"GM0441    "
"Dirksland";"WP2377    ";"Goeree-Overflakkee                 ";"GM1924    "
"Dodewaard";"WP1094    ";"Neder-Betuwe                       ";"GM1740    "
"Doenrade";"WP2100    ";"Schinnen                           ";"GM0962    "
"Doesburg";"WP2142    ";"Doesburg                           ";"GM0221    "
"Doetinchem";"WP3246    ";"Doetinchem                         ";"GM0222    "
"Doeveren";"WP3514    ";"Heusden                            ";"GM0797    "
"Doezum";"WP2174    ";"Grootegast                         ";"GM0015    "
"Dokkum";"WP3391    ";"Dongeradeel                        ";"GM0058    "
"Den Dolder";"WP2822    ";"Zeist                              ";"GM0355    "
"Doldersum";"WP3109    ";"Westerveld                         ";"GM1701    "
"Domburg";"WP2776    ";"Veere                              ";"GM0717    "
"Donderen";"WP2916    ";"Tynaarlo                           ";"GM1730    "
"Dongen";"WP2799    ";"Dongen                             ";"GM0766    "
"Dongjum";"WP1372    ";"Waadhoeke                          ";"GM1949    "
"Doniaga";"WP2488    ";"De Fryske Marren                   ";"GM1940    "
"Donkerbroek";"WP1754    ";"Ooststellingwerf                   ";"GM0085    "
"Doorn";"WP3339    ";"Utrechtse Heuvelrug                ";"GM1581    "
"Doornenburg";"WP3134    ";"Lingewaard                         ";"GM1705    "
"Doornspijk";"WP1846    ";"Elburg                             ";"GM0230    "
"Doorwerth";"WP2986    ";"Renkum                             ";"GM0274    "
"Dordrecht";"WP2351    ";"Dordrecht                          ";"GM0505    "
"Dorst";"WP2959    ";"Oosterhout                         ";"GM0826    "
"Drachten";"WP3279    ";"Smallingerland                     ";"GM0090    "
"Drachten-Azeven";"WP3344    ";"Opsterland                         ";"GM0086    "
"Drachtstercompagnie";"WP3280    ";"Smallingerland                     ";"GM0090    "
"Dreischor";"WP2677    ";"Schouwen-Duiveland                 ";"GM1676    "
"Drempt";"WP1520    ";"Bronckhorst                        ";"GM1876    "
"Dreumel";"WP1771    ";"West Maas en Waal                  ";"GM0668    "
"Driebergen-Rijsenburg";"WP3335    ";"Utrechtse Heuvelrug                ";"GM1581    "
"Drieborg";"WP1422    ";"Oldambt                            ";"GM1895    "
"Driebruggen";"WP2477    ";"Bodegraven-Reeuwijk                ";"GM1901    "
"Driehuis NH";"WP2836    ";"Velsen                             ";"GM0453    "
"Driehuizen";"WP1886    ";"Alkmaar                            ";"GM0361    "
"Driel";"WP1863    ";"Overbetuwe                         ";"GM1734    "
"Driewegen";"WP1253    ";"Borsele                            ";"GM0654    "
"Driezum";"WP3268    ";"Dantumadiel                        ";"GM1891    "
"Drijber";"WP3009    ";"Midden-Drenthe                     ";"GM1731    "
"Drimmelen";"WP2574    ";"Drimmelen                          ";"GM1719    "
"Drogeham";"WP3176    ";"Achtkarspelen                      ";"GM0059    "
"Drogteropslagen";"WP3163    ";"De Wolden                          ";"GM1690    "
"Drongelen";"WP1952    ";"Aalburg                            ";"GM0738    "
"Dronryp";"WP2729    ";"Waadhoeke                          ";"GM1949    "
"Dronten";"WP2430    ";"Dronten                            ";"GM0303    "
"Drouwen";"WP1787    ";"Borger-Odoorn                      ";"GM1681    "
"Drouwenermond";"WP1788    ";"Borger-Odoorn                      ";"GM1681    "
"Drouwenerveen";"WP1789    ";"Borger-Odoorn                      ";"GM1681    "
"Drunen";"WP3589    ";"Heusden                            ";"GM0797    "
"Druten";"WP2904    ";"Druten                             ";"GM0225    "
"Duiven";"WP2096    ";"Duiven                             ";"GM0226    "
"Duivendrecht";"WP3568    ";"Ouder-Amstel                       ";"GM0437    "
"Duizel";"WP2992    ";"Eersel                             ";"GM0770    "
"Den Dungen";"WP2058    ";"Sint-Michielsgestel                ";"GM0845    "
"Dussen";"WP2214    ";"Werkendam                          ";"GM0870    "
"Dwingeloo";"WP3110    ";"Westerveld                         ";"GM1701    "
"Eagum";"WP2524    ";"Leeuwarden                         ";"GM0080    "
"Earnewâld";"WP2456    ";"Tytsjerksteradiel                  ";"GM0737    "
"Easterein";"WP2013    ";"Súdwest-Fryslân                    ";"GM1900    "
"Easterlittens";"WP2014    ";"Leeuwarden                         ";"GM0080    "
"Eastermar";"WP2454    ";"Tytsjerksteradiel                  ";"GM0737    "
"Easterwierrum";"WP2015    ";"Súdwest-Fryslân                    ";"GM1900    "
"Echt";"WP2041    ";"Echt-Susteren                      ";"GM1711    "
"Echteld";"WP3524    ";"Neder-Betuwe                       ";"GM1740    "
"Echten";"WP3164    ";"De Wolden                          ";"GM1690    "
"Echten";"WP2241    ";"De Fryske Marren                   ";"GM1940    "
"Echtenerbrug";"WP2242    ";"De Fryske Marren                   ";"GM1940    "
"Eck en Wiel";"WP3374    ";"Buren                              ";"GM0214    "
"Eckelrade";"WP1693    ";"Eijsden-Margraten                  ";"GM1903    "
"Edam";"WP1747    ";"Edam-Volendam                      ";"GM0385    "
"Ede";"WP2764    ";"Ede                                ";"GM0228    "
"Ederveen";"WP2769    ";"Ede                                ";"GM0228    "
"Ee";"WP3392    ";"Dongeradeel                        ";"GM0058    "
"Eede";"WP2966    ";"Sluis                              ";"GM1714    "
"Eefde";"WP1336    ";"Lochem                             ";"GM0262    "
"Eelde";"WP2909    ";"Tynaarlo                           ";"GM1730    "
"Eelderwolde";"WP2911    ";"Tynaarlo                           ";"GM1730    "
"Eemdijk";"WP2238    ";"Bunschoten                         ";"GM0313    "
"Eemnes";"WP1037    ";"Eemnes                             ";"GM0317    "
"Eemshaven";"WP3473    ";"Eemsmond                           ";"GM1651    "
"Een";"WP1634    ";"Noordenveld                        ";"GM1699    "
"Eenrum";"WP3415    ";"De Marne                           ";"GM1663    "
"Eenum";"WP3444    ";"Loppersum                          ";"GM0024    "
"Een-West";"WP1635    ";"Noordenveld                        ";"GM1699    "
"Eerbeek";"WP1114    ";"Brummen                            ";"GM0213    "
"Eersel";"WP2993    ";"Eersel                             ";"GM0770    "
"Ees";"WP1790    ";"Borger-Odoorn                      ";"GM1681    "
"Eesergroen";"WP1791    ";"Borger-Odoorn                      ";"GM1681    "
"Eeserveen";"WP1792    ";"Borger-Odoorn                      ";"GM1681    "
"Eesterga";"WP2243    ";"De Fryske Marren                   ";"GM1940    "
"Eesveen";"WP2699    ";"Steenwijkerland                    ";"GM1708    "
"Eethen";"WP1953    ";"Aalburg                            ";"GM0738    "
"Eext";"WP1155    ";"Aa en Hunze                        ";"GM1680    "
"Eexterveen";"WP1156    ";"Aa en Hunze                        ";"GM1680    "
"Eexterveenschekanaal";"WP1157    ";"Aa en Hunze                        ";"GM1680    "
"Eexterzandvoort";"WP1158    ";"Aa en Hunze                        ";"GM1680    "
"Egchel";"WP3439    ";"Peel en Maas                       ";"GM1894    "
"Egmond aan den Hoef";"WP3048    ";"Bergen (NH.)                       ";"GM0373    "
"Egmond aan Zee";"WP3049    ";"Bergen (NH.)                       ";"GM0373    "
"Egmond-Binnen";"WP3050    ";"Bergen (NH.)                       ";"GM0373    "
"Eibergen";"WP1662    ";"Berkelland                         ";"GM1859    "
"Eijsden";"WP1700    ";"Eijsden-Margraten                  ";"GM1903    "
"Eindhoven";"WP1101    ";"Eindhoven                          ";"GM0772    "
"Einighausen";"WP2810    ";"Sittard-Geleen                     ";"GM1883    "
"Ekehaar";"WP1159    ";"Aa en Hunze                        ";"GM1680    "
"Elahuizen";"WP1675    ";"De Fryske Marren                   ";"GM1940    "
"Elburg";"WP1844    ";"Elburg                             ";"GM0230    "
"Eldersloo";"WP1160    ";"Aa en Hunze                        ";"GM1680    "
"Eleveld";"WP1161    ";"Aa en Hunze                        ";"GM1680    "
"Elim";"WP1811    ";"Hoogeveen                          ";"GM0118    "
"Elkenrade";"WP1235    ";"Gulpen-Wittem                      ";"GM1729    "
"Ell";"WP2942    ";"Leudal                             ";"GM1640    "
"Ellecom";"WP1503    ";"Rheden                             ";"GM0275    "
"Ellemeet";"WP2678    ";"Schouwen-Duiveland                 ";"GM1676    "
"Ellertshaar";"WP1793    ";"Borger-Odoorn                      ";"GM1681    "
"Ellewoutsdijk";"WP1254    ";"Borsele                            ";"GM0654    "
"Elp";"WP3010    ";"Midden-Drenthe                     ";"GM1731    "
"Elsendorp";"WP2095    ";"Gemert-Bakel                       ";"GM1652    "
"Elshout";"WP3590    ";"Heusden                            ";"GM0797    "
"Elsloo";"WP1914    ";"Stein                              ";"GM0971    "
"Elsloo";"WP1755    ";"Ooststellingwerf                   ";"GM0085    "
"Elspeet";"WP2983    ";"Nunspeet                           ";"GM0302    "
"Elst";"WP1864    ";"Overbetuwe                         ";"GM1734    "
"Elst Ut";"WP1400    ";"Rhenen                             ";"GM0340    "
"Emmeloord";"WP1271    ";"Noordoostpolder                    ";"GM0171    "
"Emmen";"WP1988    ";"Emmen                              ";"GM0114    "
"Emmer-Compascuum";"WP1989    ";"Emmen                              ";"GM0114    "
"Empe";"WP1109    ";"Brummen                            ";"GM0213    "
"Emst";"WP1346    ";"Epe                                ";"GM0232    "
"Engwierum";"WP3393    ";"Dongeradeel                        ";"GM0058    "
"Enkhuizen";"WP2754    ";"Enkhuizen                          ";"GM0388    "
"Ens";"WP1276    ";"Noordoostpolder                    ";"GM0171    "
"Enschede";"WP1145    ";"Enschede                           ";"GM0153    "
"Enspijk";"WP3216    ";"Geldermalsen                       ";"GM0236    "
"Enter";"WP1088    ";"Wierden                            ";"GM0189    "
"Enumatil";"WP2340    ";"Leek                               ";"GM0022    "
"Epe";"WP1344    ";"Epe                                ";"GM0232    "
"Epen";"WP1232    ";"Gulpen-Wittem                      ";"GM1729    "
"Eppenhuizen";"WP3474    ";"Eemsmond                           ";"GM1651    "
"Epse";"WP1337    ";"Lochem                             ";"GM0262    "
"Erica";"WP1990    ";"Emmen                              ";"GM0114    "
"Erichem";"WP3375    ";"Buren                              ";"GM0214    "
"Erlecom";"WP2874    ";"Berg en Dal                        ";"GM1945    "
"Erm";"WP2153    ";"Coevorden                          ";"GM0109    "
"Ermelo";"WP2573    ";"Ermelo                             ";"GM0233    "
"Erp";"WP2826    ";"Meierijstad                        ";"GM1948    "
"Esbeek";"WP1311    ";"Hilvarenbeek                       ";"GM0798    "
"Esch";"WP1426    ";"Haaren                             ";"GM0788    "
"Escharen";"WP3195    ";"Grave                              ";"GM0786    "
"Espel";"WP1280    ";"Noordoostpolder                    ";"GM0171    "
"Est";"WP3359    ";"Neerijnen                          ";"GM0304    "
"Etten";"WP1581    ";"Oude IJsselstreek                  ";"GM1509    "
"Etten-Leur";"WP1010    ";"Etten-Leur                         ";"GM0777    "
"Europoort Rotterdam";"WP3081    ";"Rotterdam                          ";"GM0599    "
"Eursinge";"WP3011    ";"Midden-Drenthe                     ";"GM1731    "
"Eursinge";"WP3165    ";"De Wolden                          ";"GM1690    "
"Everdingen";"WP2840    ";"Vianen                             ";"GM0620    "
"Evertsoord";"WP1517    ";"Horst aan de Maas                  ";"GM1507    "
"Ewijk";"WP2752    ";"Beuningen                          ";"GM0209    "
"1e Exloërmond";"WP1779    ";"Borger-Odoorn                      ";"GM1681    "
"2e Exloërmond";"WP1780    ";"Borger-Odoorn                      ";"GM1681    "
"Exloërveen";"WP1794    ";"Borger-Odoorn                      ";"GM1681    "
"Exloo";"WP1795    ";"Borger-Odoorn                      ";"GM1681    "
"Exmorra";"WP2307    ";"Súdwest-Fryslân                    ";"GM1900    "
"Eygelshoven";"WP2650    ";"Kerkrade                           ";"GM0928    "
"Eys";"WP1234    ";"Gulpen-Wittem                      ";"GM1729    "
"Ezinge";"WP2467    ";"Winsum                             ";"GM0053    "
"De Falom";"WP3267    ";"Dantumadiel                        ";"GM1891    "
"Farmsum";"WP3235    ";"Delfzijl                           ";"GM0010    "
"Feanwâlden";"WP3271    ";"Dantumadiel                        ";"GM1891    "
"Feerwerd";"WP2468    ";"Winsum                             ";"GM0053    "
"Feinsum";"WP3226    ";"Leeuwarden                         ";"GM0080    "
"Ferwert";"WP3201    ";"Ferwerderadiel                     ";"GM1722    "
"Ferwoude";"WP2308    ";"Súdwest-Fryslân                    ";"GM1900    "
"Fijnaart";"WP1321    ";"Moerdijk                           ";"GM1709    "
"Finsterwolde";"WP1419    ";"Oldambt                            ";"GM1895    "
"Firdgum";"WP1378    ";"Waadhoeke                          ";"GM1949    "
"Fleringen";"WP1284    ";"Tubbergen                          ";"GM0183    "
"Fluitenberg";"WP1812    ";"Hoogeveen                          ";"GM0118    "
"Fochteloo";"WP1756    ";"Ooststellingwerf                   ";"GM0085    "
"Follega";"WP2244    ";"De Fryske Marren                   ";"GM1940    "
